File;Empitjora_Decisions
RNDNNGR_15x77_01;0
RNDNNGR_17x77_01;1
RNDNNGR_19x54_01;0
RNDNNGR_19x72_01;1
RNDNNGR_20x56_01;0
RNDNNGR_22x57_01;0
RNDNNGR_22x63_01;1
RNDNNGR_25x40_01;1
RNDNNGR_25x66_01;0
RNDNNGR_25x72_01;0
RNDNNGR_25x73_01;1
RNDNNGR_25x76_01;1
RNDNNGR_27x73_01;0
RNDNNGR_28x56_01;1
RNDNNGR_28x75_01;0
RNDNNGR_28x79_01;0
RNDNNGR_29x38_01;0
RNDNNGR_29x62_01;0
RNDNNGR_29x68_01;0
RNDNNGR_31x45_01;0
RNDNNGR_31x48_02;0
RNDNNGR_33x64_01;0
RNDNNGR_33x75_02;1
RNDNNGR_33x75_03;1
RNDNNGR_34x54_01;0
RNDNNGR_35x28_01;0
RNDNNGR_35x61_01;0
RNDNNGR_36x76_01;0
RNDNNGR_37x36_01;0
RNDNNGR_37x57_01;0
RNDNNGR_38x60_01;0
RNDNNGR_38x70_01;0
RNDNNGR_38x76_01;0
RNDNNGR_39x38_01;0
RNDNNGR_40x25_01;1
RNDNNGR_40x50_01;0
RNDNNGR_43x49_01;0
RNDNNGR_43x78_01;1
RNDNNGR_44x45_01;1
RNDNNGR_46x45_01;0
RNDNNGR_47x69_01;0
RNDNNGR_47x79_01;0
RNDNNGR_48x63_01;0
RNDNNGR_48x67_01;0
RNDNNGR_48x76_01;1
RNDNNGR_49x29_01;0
RNDNNGR_49x37_01;1
RNDNNGR_49x54_01;1
RNDNNGR_51x38_01;1
RNDNNGR_51x43_01;1
RNDNNGR_51x45_01;0
RNDNNGR_52x34_01;0
RNDNNGR_52x48_01;0
RNDNNGR_52x56_01;1
RNDNNGR_52x57_01;1
RNDNNGR_52x61_01;0
RNDNNGR_53x54_01;0
RNDNNGR_53x74_01;1
RNDNNGR_53x78_01;0
RNDNNGR_54x46_01;1
RNDNNGR_54x77_01;1
RNDNNGR_55x26_01;0
RNDNNGR_55x69_01;1
RNDNNGR_56x22_01;0
RNDNNGR_58x33_01;0
RNDNNGR_58x50_01;0
RNDNNGR_58x66_01;1
RNDNNGR_59x43_01;1
RNDNNGR_59x63_01;0
RNDNNGR_59x72_01;0
RNDNNGR_60x28_01;1
RNDNNGR_60x37_01;0
RNDNNGR_60x67_01;0
RNDNNGR_61x54_01;1
RNDNNGR_61x55_01;0
RNDNNGR_61x63_01;0
RNDNNGR_61x70_01;0
RNDNNGR_62x73_01;0
RNDNNGR_62x76_01;0
RNDNNGR_63x55_01;1
RNDNNGR_64x77_01;0
RNDNNGR_65x68_01;0
RNDNNGR_66x47_01;0
RNDNNGR_66x63_01;1
RNDNNGR_66x72_01;0
RNDNNGR_67x57_01;0
RNDNNGR_67x61_01;0
RNDNNGR_69x51_01;0
RNDNNGR_69x68_01;0
RNDNNGR_70x27_01;1
RNDNNGR_70x54_01;0
RNDNNGR_70x55_01;1
RNDNNGR_71x60_01;0
RNDNNGR_71x71_01;0
RNDNNGR_72x22_01;0
RNDNNGR_72x58_01;1
RNDNNGR_73x20_01;0
RNDNNGR_73x32_01;0
RNDNNGR_73x62_01;1
RNDNNGR_74x31_01;0
RNDNNGR_74x35_01;1
RNDNNGR_74x40_01;1
RNDNNGR_74x54_01;0
RNDNNGR_74x57_01;0
RNDNNGR_74x70_01;0
RNDNNGR_75x70_01;0
RNDNNGR_76x29_01;1
RNDNNGR_76x34_01;1
RNDNNGR_76x36_01;1
RNDNNGR_76x50_01;0
RNDNNGR_78x24_01;1
RNDNNGR_78x30_01;0
RNDNNGR_78x45_01;1
RNDNNGR_79x35_01;0
RNDNNGR_80x37_01;1
RNDNNGR_80x38_01;0
RNDNNGR_80x50_01;0
RNDNNGR_80x80_01;0
